KI67 NEG: Perimeter: 40.971, Area: 64, HullArea: 77.5, Ratio: 0.33312, Color: [215.79, 200.98, 194.37, 255]
KI67 POS: Perimeter: 83.598, Area: 417, HullArea: 438, Ratio: 0.42237, Color: [78.69, 88.825, 135.87, 255]
KI67 POS: Perimeter: 123.05, Area: 523, HullArea: 675.5, Ratio: 0.73916, Color: [106.33, 105.13, 133.95, 255]
KI67 NEG: Perimeter: 62.87, Area: 261.5, HullArea: 275, Ratio: 0.56471, Color: [150.1, 144.22, 155.04, 255]
NORMAL: Perimeter: 25.899, Area: 30.5, HullArea: 35.5, Ratio: 0.28909, Color: [150.1, 144.22, 155.04, 255]
KI67 NEG: Perimeter: 67.355, Area: 247.5, HullArea: 264, Ratio: 0.58173, Color: [171.5, 157.87, 162.61, 255]
KI67 POS: Perimeter: 50.042, Area: 171.5, HullArea: 177, Ratio: 0.85949, Color: [85.191, 92.508, 132.29, 255]
KI67 POS: Perimeter: 49.799, Area: 161, HullArea: 167.5, Ratio: 0.44446, Color: [127.8, 129.08, 148.84, 255]
KI67 NEG: Perimeter: 34.971, Area: 72, HullArea: 77, Ratio: 0.31031, Color: [214.78, 177.09, 161.92, 255]
KI67 NEG: Perimeter: 41.799, Area: 53, HullArea: 64, Ratio: 0.034631, Color: [235.1, 219.57, 211.88, 255]
KI67 NEG: Perimeter: 59.113, Area: 197, HullArea: 214.5, Ratio: 0.39527, Color: [186.64, 165.02, 163.82, 255]
KI67 NEG: Perimeter: 45.456, Area: 86, HullArea: 98, Ratio: 0.099371, Color: [228.51, 202.23, 190.75, 255]
KI67 POS: Perimeter: 56.284, Area: 174, HullArea: 194.5, Ratio: 0.50499, Color: [117.35, 126.16, 160.02, 255]
KI67 NEG: Perimeter: 36.728, Area: 84.5, HullArea: 89.5, Ratio: 0.4778, Color: [174.87, 150.41, 147.19, 255]
KI67 POS: Perimeter: 131.05, Area: 567, HullArea: 761, Ratio: 0.45371, Color: [124.97, 131.06, 159.91, 255]
KI67 POS: Perimeter: 59.113, Area: 202, HullArea: 222, Ratio: 0.60247, Color: [97.874, 103.38, 142.69, 255]
KI67 NEG: Perimeter: 37.213, Area: 72.5, HullArea: 77.5, Ratio: 0.22042, Color: [178.79, 161.06, 159.41, 255]
KI67 POS: Perimeter: 57.698, Area: 198.5, HullArea: 207.5, Ratio: 0.30107, Color: [104.13, 107.37, 141.48, 255]
KI67 POS: Perimeter: 84.669, Area: 432.5, HullArea: 462, Ratio: 0.39147, Color: [94.509, 94.724, 127.28, 255]
KI67 NEG: Perimeter: 49.213, Area: 119.5, HullArea: 139, Ratio: 0.32811, Color: [211.6, 182.35, 169.95, 255]
KI67 NEG: Perimeter: 43.799, Area: 101, HullArea: 113, Ratio: 0.4126, Color: [222.43, 186.04, 170.9, 255]
KI67 POS: Perimeter: 94.912, Area: 180, HullArea: 253, Ratio: 0.40847, Color: [136.9, 148.1, 178.92, 255]
KI67 NEG: Perimeter: 55.213, Area: 100.5, HullArea: 117.5, Ratio: 0.052315, Color: [161, 145.07, 148.93, 255]
KI67 NEG: Perimeter: 54.627, Area: 79, HullArea: 109, Ratio: 0.051626, Color: [240.64, 223.19, 217.52, 255]
NORMAL: Perimeter: 31.799, Area: 26, HullArea: 37, Ratio: 0.2876, Color: [240.64, 223.19, 217.52, 255]
KI67 POS: Perimeter: 72.184, Area: 232.5, HullArea: 259.5, Ratio: 0.93102, Color: [87.079, 96.9, 134.99, 255]
KI67 POS: Perimeter: 54.87, Area: 181.5, HullArea: 192.5, Ratio: 0.39717, Color: [147.85, 155.37, 177.32, 255]
KI67 POS: Perimeter: 91.255, Area: 522, HullArea: 547.5, Ratio: 0.51136, Color: [95.232, 96.033, 131.52, 255]
KI67 NEG: Perimeter: 51.213, Area: 183.5, HullArea: 189, Ratio: 0.7775, Color: [201.87, 158.8, 142.58, 255]
KI67 NEG: Perimeter: 45.213, Area: 76.5, HullArea: 88, Ratio: 0.29209, Color: [195.76, 159.81, 150.59, 255]
KI67 NEG: Perimeter: 40.971, Area: 90, HullArea: 98, Ratio: 0.2766, Color: [211.37, 167.63, 151.19, 255]
KI67 NEG: Perimeter: 35.556, Area: 59.5, HullArea: 73.5, Ratio: 0.2626, Color: [217.28, 186.11, 176.45, 255]
